Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bombay Aloo,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chaat Main,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry Sauce,Dall Samba,Dhansak,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Prier Water (750ml),Puree,Raitha,Red Sauce,Rogon,Royal Paneer,Saag,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Sheek Kehab,Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo Sauce,Grand Total
2016,11,2,3,5.7,3.108,84.42,10.346,5.364,1.364,3.272,101275.8,0,4,,,,,,,,6,,,,,,,,1,,,,,,,2,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,17,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,1,,,2,,,
2016,12,3,3,6.555555556,1.196527778,64.79861111,10.01006944,5.998263889,2.9625,0,102703.0208,0,,1,,1,,,,1,1,,3,9,,6,2,1,8,,1,5,2,,,1,,,1,,,1,2,,2,5,1,6,4,1,3,,1,9,1,,,3,,3,1,1,,,1,4,,2,3,13,1,1,1,,,14,2,,,1,,,1,1,11,1,2,,1,,,2,,,,1,,,1,,,,1,,,3,,,1,,,,2,2,1,8,1,,1,11,,9,1,,,1,10,,12,8,1,,,,,3,,,,,1,7,16,12,20,10,,,1,1,,1,,3,1,1,,3,1,1,3,2,,,4,4,1,,1,2,1,,,,1,1,1,,,,1,2,,1,1,1,,
2016,13,4,3,5.959731544,3.887919463,110.442953,12.45704698,9.322147651,5.843624161,5.089932886,101042.6846,0,,1,,1,,,,1,,2,6,3,1,,,,3,,,2,,,1,,,,3,,,,,1,3,1,1,2,1,1,1,1,,6,1,,,,2,2,,,,1,,1,,1,1,8,1,,,,,1,,,1,,,,,,6,,1,,,,,2,,,,,,,,1,,1,,,2,,,,,1,,,,,,1,,,1,6,,2,4,,,,3,,4,2,,,,,,1,,,,,,4,13,8,14,5,,1,1,,,,2,2,,1,,,1,,3,1,1,,,1,,,,,1,,3,,,,2,2,1,1,,,,,3,1,,
2016,14,1,4,4.91015625,6.68359375,166.1367188,14.03007813,9.023046875,4.517578125,1.8609375,100807.3438,0,1,2,,1,,,,,,1,2,5,,4,2,1,10,,2,4,2,,,,2,,,,,1,,,1,2,2,2,4,1,,,,8,,,,4,3,1,,,3,,2,2,,,1,9,1,,,,,10,3,,,1,1,1,1,,13,,3,1,,,1,3,1,,1,1,1,,,1,,,,,,,,2,,1,,,1,,5,5,,,,6,,5,4,,,1,8,1,4,9,,2,,1,,1,,2,2,,,8,18,16,44,9,,,1,,1,1,,3,1,1,3,2,1,,2,3,,2,,2,1,,,,2,1,3,,,,1,,1,1,1,,,2,,1,,
2016,15,2,4,5.4,3.651428571,133.2057143,13.00228571,8.817714286,4.974285714,1.462857143,100677.4857,0,,1,,1,,,,1,,,2,1,1,3,1,2,4,1,1,3,2,,,2,,,3,1,,2,,,3,1,,1,,1,1,,1,8,1,1,,,,,,1,2,,,1,2,,,10,3,,1,,1,2,,,,,,,1,,4,,1,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,1,,,2,,,,5,,5,2,1,,1,3,1,3,4,1,1,1,,,1,,,1,,,8,13,11,16,7,,,1,2,,,,1,1,,,4,2,1,1,,2,,,,5,,1,,,,1,,,,3,2,2,,,,,1,3,4,,
2016,16,2,4,5.566137566,4.452380952,149.0740741,13.66878307,10.25079365,6.117460317,3.423280423,100648.5714,0,,1,,,,,,,1,,1,4,,2,1,1,3,,,4,1,,1,,1,,,,,2,1,1,2,2,1,,2,1,2,1,,9,2,,2,1,,3,,,,1,1,,,,1,6,,1,1,,,3,1,,,1,,,,1,6,1,2,,,,,1,1,,2,,1,,,,1,1,,,,,1,,,2,1,,,,2,4,,5,3,2,,6,,,,,4,1,5,3,1,1,,1,,2,1,2,2,,,2,13,10,29,7,,1,,,,1,1,,1,1,1,2,1,,,1,1,,,3,3,1,,1,,3,1,,,1,1,1,1,1,,,,1,1,1,,
2016,17,4,4,5.503649635,5.09270073,161.7481752,12.30109489,8.501824818,4.964233577,1.559124088,102241.4234,0,2,1,,,,,1,,,1,3,8,2,5,1,1,8,,1,5,1,,1,1,1,,1,,,,1,,3,1,1,2,1,1,2,,1,7,1,1,2,1,,3,,1,4,,1,,,,3,10,1,1,1,,,7,1,,1,2,,,,,11,2,1,,,,,2,,,1,,1,,,,,1,,,2,,,2,,1,,2,1,,4,2,,11,,7,1,10,1,,,1,5,,13,5,,1,,,,,,1,2,,,8,20,16,59,11,,,,2,,,3,6,5,2,3,3,1,,2,,1,,,4,3,,,1,2,1,,,,,2,1,1,1,1,,,1,2,3,,
2016,18,4,5,3.445859873,8.682802548,230.343949,14.50254777,7.679617834,2.317834395,0.672611465,101571.1465,0,,1,,,,,,,,,4,2,1,,1,,1,,,4,,,1,,,,1,,1,2,,,2,2,,2,,,2,,2,2,,,,,1,5,,,3,,,2,,,2,4,1,,1,,,5,1,,,1,,,,1,2,1,1,,,,,3,,,,,,,1,,,1,,,1,,,,,,,,2,,1,5,,4,,7,,3,2,1,,,1,,6,2,,1,,1,,,,,,,,5,12,10,23,6,,,,1,,,3,2,,,1,1,1,,,2,1,,,4,1,,,2,2,1,,,,,1,,,1,,,1,1,1,1,,
2016,19,1,5,3.837719298,7.725877193,218.9561404,21.34429825,15.50570175,9.395614035,0.119298246,101463.2456,0,,2,,,,,,,,,2,7,1,2,,1,13,,,1,,,,1,2,,2,1,,,2,,1,3,1,1,1,2,3,2,,8,1,,,,,3,,2,1,,,1,,2,2,12,1,,1,,,6,,,,,,,1,,7,1,,,1,,1,3,1,,1,,,,1,,,1,,,,,,1,,,2,1,2,,1,4,,9,3,5,,10,,,,1,3,1,6,9,1,,,,,1,,,,,,1,23,12,38,9,,,,1,1,2,,5,1,,,3,1,,5,1,1,,,3,,,1,,2,,1,,,,3,1,6,,1,,1,,,1,1,
2016,20,2,5,5.484962406,6.382706767,206.4586466,17.36654135,14.0518797,10.33233083,3.497744361,101314.8496,0,1,2,1,,,,,,,,2,4,1,2,2,,4,,,,3,,1,,2,,5,,1,1,,,1,4,1,5,2,4,4,,,6,,2,,,1,5,,,2,,,1,,1,1,14,1,,1,4,,9,3,1,,,1,,1,,6,1,2,,,,,1,,1,,,,,,1,,,1,,,1,1,1,,,,,,,1,5,,13,1,4,1,10,2,,,,4,1,8,6,1,1,,,,,,1,2,1,,3,12,15,41,12,,1,3,1,,2,,5,1,1,1,4,1,,1,,4,1,,4,3,,,1,1,3,,,,,,1,3,1,,,1,,,2,,
