Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna,Bhuna - Chicken,Bhuna - Chicken Tikka,Bhuna - King Prawn,Bhuna - Lamb,Bhuna - Prawn,Bombay Aloo,Bottle Coke,Bottle Diet Coke,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA ( LARGE ),COBRA (330ML),COBRA (660ML),Coke 1.5 ltr,Curry,Curry - Chicken,Curry - Chicken Tikka,Curry - King Prawn,Curry - Lamb,Curry - Prawn,Curry Sauce,Dall Samba,Dhansak,Dhansak - Chicken,Dhansak - Chicken Tikka,Dhansak - King Prawn,Dhansak - Lamb,Dhansak - Prawn,Dhansak Sauce,Diet Coke 1.5 ltr,Dupiaza,Dupiaza - Chicken,Dupiaza - Chicken Tikka,Dupiaza - King Prawn,Dupiaza - Lamb,Dupiaza - Prawn,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma,Korma - Chicken,Korma - Chicken Tikka,Korma - King Prawn,Korma - Lamb,Korma - Prawn,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras,Madras - Chicken,Madras - Chicken Tikka,Madras - King Prawn,Madras - Lamb,Madras - Prawn,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi,Methi - Chicken,Methi - Chicken Tikka,Methi - King Prawn,Methi - Lamb,Methi - Prawn,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom,Mushroom - Chicken,Mushroom - Chicken Tikka,Mushroom - King Prawn,Mushroom - Lamb,Mushroom - Prawn,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia,Pathia - Chicken,Pathia - Chicken Tikka,Pathia - King Prawn,Pathia - Lamb,Pathia - Prawn,Perrier Water (750ml),Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Puree,Raitha,Red Sauce,Rogon,Rogon - Chicken,Rogon - Chicken Tikka,Rogon - King Prawn,Rogon - Lamb,Rogon - Prawn,Royal Paneer,Saag,Saag - Chicken,Saag - Chicken Tikka,Saag - King Prawn,Saag - Lamb,Saag - Prawn,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo,Vindaloo - Chicken,Vindaloo - Chicken Tikka,Vindaloo - King Prawn,Vindaloo - Lamb,Vindaloo - Prawn,Vindaloo Sauce,Grand Total
2018,1,1,1,5.575539568,1.543345324,25.29136691,7.668884892,6.27176259,3.800179856,1.794244604,100290.5935,0,1,7,,1,,,,,,,9,,,,,,18,,,2,5,5,5,12,,1,6,,,,,2,,1,,,5,1,,5,7,2,2,1,1,1,,1,26,2,1,,,3,,7,,,,,,,,6,,,,,,,1,6,,,,,,,,1,22,2,1,2,,1,,17,1,1,,2,,,3,1,26,,,,,,,3,1,,1,3,4,1,,,1,,1,,,,1,2,3,1,2,,,3,,,5,,1,2,,9,16,,,,,,,18,2,8,,,,,,,12,4,2,1,,,,,,4,15,,16,16,2,1,,2,,,1,11,1,,,,,,,,,18,54,47,79,23,,,,1,1,,4,2,,,,,,6,2,,,,,,8,2,1,2,1,5,4,1,3,,4,2,2,,,1,,1,3,3,5,,5,1,,9,3,7,,,,,,,1049
2018,2,2,1,7.819070905,0.398533007,18.14180929,8.727139364,6.254523227,4.549144254,0.297799511,101897.4083,0,1,3,,2,,,1,1,,1,5,,,,,,13,,,,3,,4,16,,2,2,1,1,1,1,1,2,2,,,6,2,3,3,9,3,1,1,2,4,,,13,4,,,,2,1,6,,,,,,2,,1,,,,,,4,1,,,,,,,,1,3,21,,,,1,,,10,1,,1,,,,2,1,8,,,,,,2,,,1,,4,2,,,,,,,,,,1,3,1,,1,,,3,,,,1,,1,1,,4,,,,,,2,13,2,8,1,,,,,,8,7,2,,,,,,,1,11,,17,10,1,,,,,1,1,3,2,,,,,,,,,9,22,29,52,18,,1,1,3,,,2,,,,,,,1,2,,,,,,8,,,5,2,2,,3,6,,1,1,,4,2,,,1,4,3,3,,2,,2,3,3,4,,,,,,2,814
2018,3,3,1,4.940594059,2.568811881,34.48019802,8.428465347,4.842079208,1.684405941,4.087623762,100529.802,0,2,3,,,,,,1,,,5,,,,,,3,,,,6,2,4,14,,1,6,,2,2,,1,1,1,2,,1,,,4,3,3,3,3,2,5,1,,11,1,2,,,,2,6,,,,,,1,,1,,,,,,,1,,,,,,,,4,3,13,1,1,1,,2,,7,5,,1,,1,,1,1,21,,,,,,,,,,,1,2,1,,,1,,,,,1,,1,,,1,2,1,1,,1,,1,1,,3,3,15,,,,,,,16,,10,,,,,,,8,,,,,,,,,1,10,,15,8,3,1,1,,1,1,,3,,,,,,,,1,1,10,31,20,67,14,,1,1,1,1,1,1,4,,,,,,2,,,,,,,12,2,,2,3,7,4,2,9,,1,1,1,1,2,1,2,,4,1,1,,1,1,,,4,2,,,,,,2,758
2018,4,4,1,6.423529412,1.022352941,27.48,12.22,7.617882353,4.086588235,1.043294118,101972.7529,0,,6,,3,,,,,,,5,,,,,,9,,,1,4,,2,8,,2,7,2,,1,,,,1,,,7,,,6,6,2,1,1,3,5,,1,17,1,,,,,,6,,,,,,,1,4,,,,,,1,,3,,,,,,,2,1,28,2,1,,1,1,,10,2,1,1,2,,,,1,12,,,,,,1,1,,,,3,4,,,,1,,,,,,1,,,1,4,1,,1,,,3,,,1,2,4,9,,,,,,,9,3,5,,,,,,,4,5,,,,,,,,2,9,2,23,11,2,2,,1,1,,1,6,3,,,,,,,,,6,31,25,71,21,,,1,1,,1,2,5,,,,,,2,2,,,,,,6,2,,1,,2,3,1,2,,1,3,6,3,2,1,1,1,2,7,3,,1,,,,1,6,,,,,,,893
2018,5,1,1,6.270022883,1.555148741,36.24256293,5.946681922,5.391075515,3.380778032,1.713043478,101325.7895,0,,6,,1,1,,,2,,3,10,,,,,,13,,,,7,,2,13,,1,1,1,3,1,1,1,,,2,1,1,,1,1,7,,4,2,2,3,2,,14,1,2,,,1,,10,,,,,,,,4,,,,,,,,4,,,,,,,4,2,32,,,1,1,,1,11,,,,,,,2,1,15,,,,,,3,,3,,,1,4,,3,,,,,,,,,,1,,,,,,,1,1,,,3,,3,12,,,,,,,18,2,1,,,,,,,7,3,2,,,,,,,2,10,,17,7,2,1,,1,,5,,1,1,,,,,,,,,5,47,28,78,12,1,,,,1,3,3,6,,,,,,3,3,,,,,,11,3,,2,1,1,1,2,1,,3,3,1,,1,,1,,6,2,3,,2,,,5,,1,,,,,,2,763
2018,6,2,2,5.28125,2.106875,44.43125,7.53875,3.4721875,-0.2175,1.44125,101304.0313,0,2,6,,,,,,1,1,1,5,,,,,,6,,,1,4,1,1,9,,1,2,1,,,,,,1,,,4,,,5,6,2,4,,1,9,,,11,2,1,,2,,2,6,,,,,,,,1,,,,,,1,1,1,,,,,,,2,2,14,3,1,,,,,1,1,,,,,,,,8,,,,,,1,,,,1,,,1,,,,,2,,1,,,1,,,2,,,1,,,1,,,1,1,2,5,,,,,,1,12,1,13,,,,,,,5,4,1,,,,,,,,7,,10,10,1,4,,1,1,1,,,2,,,,,,,,,6,25,21,41,8,,2,,1,,1,5,,,,,,,2,4,,,,,,6,2,,,1,4,1,2,5,,1,1,1,2,2,,,,4,5,2,,1,1,,1,4,2,,,,,,,760
2018,7,2,2,4.412568306,4.297814208,67.36338798,10.06174863,4.787978142,0.22704918,1.532240437,101403.5246,0,3,5,2,,1,,,,,,9,,,,,,6,,,2,3,2,3,7,,,4,,,,2,,1,1,,,1,,1,2,3,1,3,1,1,1,1,2,18,,,,,1,2,8,,,,,,1,,1,,,,,,,,5,,,,,,,,2,12,2,2,,1,,,11,1,,,,,1,,,13,,,,,,1,1,,,,1,3,,,,1,2,,,,,,3,1,,,,,,,,1,,,1,1,2,6,,,,,,,15,,7,,,,,,,14,2,,,,,,,,1,8,,12,4,,,,,1,2,,,,,,,,,,,,8,32,29,55,14,,,1,,3,,4,5,,,,,,4,2,,,,,,6,1,,3,2,1,,1,2,,,,2,3,1,,,1,3,4,4,,2,1,1,3,,1,,,,,,1,990
2018,8,4,2,3.724637681,5.229468599,82.66666667,5.331400966,3.099275362,0.01763285,0.157487923,102295.6763,0,3,4,,,,,,,,1,5,,,,,,5,,,,4,3,1,10,,1,7,4,4,2,4,,,2,,,4,,,3,4,4,3,3,1,2,,,21,1,2,,,3,1,5,,,,,,,,3,,,,,,1,1,2,,,,,,,,1,24,3,,1,,2,,6,2,,1,,,,1,1,11,,,,,,1,1,3,,,1,2,,,1,,,,1,1,,1,,1,,,2,1,2,,,1,,,2,,5,10,,,,,,2,16,1,4,1,,,,,,11,3,1,1,,,,,,,10,1,20,8,1,3,,1,,,,3,,,,,,,,,2,10,36,23,81,15,,,2,2,1,,4,1,,,,,,1,2,,,,,,7,1,,2,1,2,,2,5,,,1,1,1,2,,,1,5,4,2,,1,,,1,5,5,,,,,,,894
2018,9,1,2,7.171875,1.3359375,51.16210938,6.059179688,0.446289062,-2.727929688,0.7046875,100013.5352,0.107421875,2,1,1,3,,,,5,,,8,,,,,,11,,,,10,4,6,10,,,4,1,3,1,1,,1,3,1,,4,,1,6,3,2,5,3,2,3,1,,23,2,1,,1,3,,11,,,,,,1,,4,,,,,,1,,6,,,,,,,1,1,25,2,2,1,1,,,11,2,,2,2,2,,2,2,26,,,,,,1,,3,1,,3,2,,,,,1,1,,,,,1,2,,1,2,,1,2,,1,,,3,,,9,,,,,,,13,1,10,,,,,,,10,3,1,,,,,,,2,14,2,18,7,4,3,2,,1,,2,4,1,,,,,,,,1,13,47,41,74,20,,,,1,2,3,4,1,,,,,,1,,,,,,,10,4,,1,5,6,,5,9,1,2,,4,2,,,1,,7,5,3,,1,,2,2,2,1,,,,,,1,799
2018,10,2,3,7.127659574,1.140425532,60.60520095,12.07399527,8.077777778,3.944444444,3.977777778,99448.58156,0,,3,,,,,,,2,1,5,,,,,,11,,,,11,1,1,6,,4,10,2,2,1,,4,2,5,1,,1,,,3,6,1,1,1,1,4,1,2,13,,2,,1,5,2,12,,,,,,,1,5,,,,,,,1,1,,,,,,,4,2,24,1,1,,1,,,6,3,,1,,,,,1,13,,,,,,1,1,,,,,4,1,1,,1,,,,,,1,1,,,,,,,,,,,,1,1,1,19,,,,,,,10,1,4,,,,,,,11,,2,,,,,,,4,13,1,13,5,5,1,1,,2,,,1,3,,,,,,,,,12,43,32,55,25,,,,2,,2,6,1,,,,,,3,1,,,,,,6,1,,1,,2,,3,3,,1,2,3,1,,1,,,5,4,4,1,2,1,,3,1,6,,,,,,,739
