Year,WeekOfYear,weekOfMonth,MonthOfYear,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,Aloo Chaat,Aloo Gobi,Aloo Methi,Baingan Hari Mirch,Bengal Fish Biryani,Bengal Fish Karahi,Bengal Fry Fish,Bengal King Prawn,Bengal Salad,Bhindi Bhajee,Bhuna - Chicken,Bhuna - Chicken Tikka,Bhuna - King Prawn,Bhuna - Lamb,Bhuna - Prawn,Bombay Aloo,Bottle Coke,Bottle Diet Coke,Brinjal Bhajee,Butter Chicken,Cauliflower Bhajee,Chana Masala,Chapati,Chicken Achar,Chicken Balti,Chicken Biryani,Chicken Chaat,Chicken Chilli Garlic,Chicken Hari Mirch,Chicken Haryali,Chicken Karahi,Chicken Mysore,Chicken Pakora,Chicken Rezala,Chicken Roshni,Chicken Shashlick,Chicken Shashlick Curry,Chicken Sylhet,Chicken Tikka,Chicken Tikka (Main),Chicken Tikka Balti,Chicken Tikka Biryani,Chicken Tikka Chilli Masala,Chicken Tikka Garlic,Chicken Tikka Jalfrezi,Chicken Tikka Jeera,Chicken Tikka Karahi,Chicken Tikka Masala,Chicken Tikka Pasanda,Chicken Tikka Sizzler,COBRA ( LARGE ),COBRA (330ML),Curry - Chicken,Curry - Chicken Tikka,Curry - King Prawn,Curry - Lamb,Curry - Prawn,Curry Sauce,Dall Samba,Dhansak - Chicken,Dhansak - Chicken Tikka,Dhansak - King Prawn,Dhansak - Lamb,Dhansak - Prawn,Dhansak Sauce,Dupiaza - Chicken,Dupiaza - Chicken Tikka,Dupiaza - King Prawn,Dupiaza - Lamb,Dupiaza - Prawn,Egg Paratha,Egg Rice,French Fries,Garlic Naan,Garlic Rice,Green Salad,Hazary Lamb,Hazary Lamb Chilli Garlic,House Red wine 75cl,House white wine 75cl,Keema Naan,Keema Rice,King Prawn Balti,King Prawn Biryani,King Prawn Butterfly,King Prawn Hari Mirch,King Prawn Karahi,King Prawn Puree,King Prawn Shaslick,Korma - Chicken,Korma - Chicken Tikka,Korma - King Prawn,Korma - Lamb,Korma - Prawn,Korma Sauce,Kulcha Naan,Lal Mirch Chicken,Lal Mirch Lamb,Lamb Achar,Lamb Balti,Lamb Biryani,Lamb Chilli Garlic,Lamb Hari Mirch,Lamb Haryali,Lamb Karahi,Lamb Mysore,Lamb Rezala,Lamb Roshni,Lamb Shashlick,Lamb Shashlick Curry,Lamb Sylhet,Lamb Tikka,Lamb Tikka (Main),Lamb Tikka Balti,Lamb Tikka Biryani,Lamb Tikka Chilli Masala,Lamb Tikka Garlic,Lamb Tikka Jalfrezi,Lamb Tikka Jeera,Lamb Tikka Karahi,Lamb Tikka Masala,Lamb Tikka Pasanda,Lamb Tikka Sizzler,Lemon Rice,Lemonade 1.5 ltr,Lime Pickle,Madras - Chicken,Madras - Chicken Tikka,Madras - King Prawn,Madras - Lamb,Madras - Prawn,Madras Sauce,Mango Chutney,Masala Sauce,Meat Samosa,Methi - Chicken,Methi - Chicken Tikka,Methi - Lamb,Mint Sauce,Mixed Starter,Mixed Vegetable Curry,Mushroom - Chicken,Mushroom - Chicken Tikka,Mushroom - King Prawn,Mushroom - Lamb,Mushroom Bhajee,Mushroom Rice,Muttar Paneer,Onion Bhajee,Onion Chutney,Onion Naan,Onion Rice,Paneer Shaslick,Paneer Tikka Balti,Paneer Tikka Karahi,Paneer Tikka Masala,Paneer Tikka Sizzler,Paratha,Pathia - Chicken,Pathia - Chicken Tikka,Pathia - King Prawn,Pathia - Lamb,Pathia - Prawn,Perrier Water (750ml),Persian Chicken Biryani,Persian Lamb Biryani,Peshwari Naan,Pilau Rice,Plain Naan,Plain Papadum,Plain Rice,Prawn Balti,Prawn Biryani,Prawn Karahi,Prawn Puree,Puree,Raitha,Red Sauce,Rogon - Chicken,Rogon - Chicken Tikka,Rogon - King Prawn,Rogon - Lamb,Royal Paneer,Saag - Chicken,Saag - Chicken Tikka,Saag - King Prawn,Saag - Lamb,Saag - Prawn,Saag Aloo,Saag Bhajee,Saag Dall,Saag Paneer,Saag Rice,Sheek Kebab,Sheek Kebab (Main),Special Fried Rice,Spicy Papadum,Still Water (750ml),Stuffed Paratha,Tandoori Chicken (1/4),Tandoori Chicken (Main),Tandoori Chicken Masala,Tandoori Fish,Tandoori Fish (Main),Tandoori King Prawn Garlic,Tandoori King Prawn Masala,Tandoori Mixed Grill,Tandoori Roti,Tarka Dall,Vegetable Balti,Vegetable Biryani,Vegetable Karahi,Vegetable Mysore,Vegetable Rice,Vegetable Roll,Vindaloo - Chicken,Vindaloo - Chicken Tikka,Vindaloo - King Prawn,Vindaloo - Lamb,Vindaloo - Prawn,Vindaloo Sauce,Grand Total
2019,1,1,1,5.575539568,1.543345324,25.29136691,7.668884892,6.27176259,3.800179856,1.794244604,100290.5935,0,3,4,,1,1,,,,,1,3,4,,4,1,8,,,2,11,3,2,21,1,6,4,1,1,,,1,1,2,,,2,1,,4,10,1,5,,,1,,2,11,1,,1,,7,,,2,1,1,,1,,1,,,,3,,,1,1,,1,7,32,2,3,,,,3,6,2,,,,1,2,1,1,12,1,,1,3,5,2,,,1,2,2,1,,,1,1,,,1,,,3,1,1,,1,,1,,1,3,1,,,,2,6,1,1,2,,2,20,,9,1,,,20,2,3,,,,,4,7,,25,10,3,,2,1,2,2,,3,1,1,,,,,1,,5,36,34,84,22,,1,,5,,3,5,,,1,1,3,3,,,1,,12,1,,2,1,4,,4,2,,,,1,,1,2,1,,3,6,5,3,,,,3,,1,,,,,1,719
2019,2,2,1,7.819070905,0.398533007,18.14180929,8.727139364,6.254523227,4.549144254,0.297799511,101897.4083,0,1,5,1,3,,,,1,1,,1,1,1,2,1,8,1,,,5,,6,10,,1,7,4,4,,,,2,1,,2,2,1,,,3,1,3,,,3,,,13,,2,1,,4,,,3,2,1,,3,1,,1,,,3,,,,,,3,6,24,3,,1,2,,,4,2,,,2,,,,1,10,2,,1,1,4,1,1,,,2,1,,2,1,2,2,,1,,1,1,,1,2,3,,,1,,1,,,,2,1,2,7,2,,,,2,16,,5,,,,4,4,,,,,1,,7,,10,4,,1,2,1,,1,1,4,1,,,1,,,,,8,26,28,53,14,,,1,1,2,3,3,,,,1,4,1,,,1,,6,2,,4,5,4,1,9,1,,,,3,,1,,,3,4,2,4,,3,,2,5,2,,1,2,,,,496
2019,3,3,1,4.940594059,2.568811881,34.48019802,8.428465347,4.842079208,1.684405941,4.087623762,100529.802,0,,6,1,2,,,,,,1,1,5,,3,,11,3,,,7,3,3,17,1,5,2,3,1,1,,2,,1,,,5,,,3,5,2,5,2,,2,1,1,20,,2,5,,5,1,,4,1,1,1,,,1,,,1,4,1,1,1,1,1,7,2,26,2,,,,1,,10,2,,1,2,,,3,,18,,1,3,,2,3,,,,1,5,,,,,1,,,,,,1,1,1,,,,1,,,1,,,1,1,5,6,1,,2,1,1,20,2,11,,,,16,5,1,,,,,5,14,,23,13,1,1,1,,1,2,,4,1,,,1,,,1,,8,38,19,67,16,,2,,2,,3,6,1,,,1,4,4,,,,,9,1,2,4,,6,1,4,1,,1,2,2,2,,1,2,,3,4,5,1,3,2,,5,2,2,,,1,,,504
2019,4,4,1,6.423529412,1.022352941,27.48,12.22,7.617882353,4.086588235,1.043294118,101972.7529,0,1,9,2,3,3,,,,,4,,3,,4,,17,1,,1,11,2,7,22,,5,1,5,2,,,2,1,2,1,,1,1,,2,4,2,4,2,1,4,,,17,1,1,1,,4,1,1,5,1,,,3,,,,,,4,1,,,,1,2,4,24,4,1,,,,1,7,3,,,1,1,,1,1,16,1,1,2,1,2,1,2,1,,2,4,,,1,,,,1,3,,1,2,1,,2,,,,,2,4,2,,,2,3,8,1,,2,1,2,14,2,11,1,,1,16,5,2,,,,,2,16,1,21,5,2,3,1,,1,3,,5,2,1,,1,,,1,,15,46,39,49,13,1,,,4,,1,10,2,,,,3,2,,1,,,8,,,4,1,4,,6,3,,,1,4,1,1,,,,4,7,7,,3,,,2,,2,,,1,,,530
2019,5,1,1,6.270022883,1.555148741,36.24256293,5.946681922,5.391075515,3.380778032,1.713043478,101325.7895,0,,5,1,6,,,,1,1,1,4,1,1,1,,15,4,1,2,8,1,3,17,1,5,8,4,2,,,9,1,4,1,,3,2,1,8,7,3,6,3,,3,,,15,,1,5,1,7,,,3,2,3,,3,3,,1,,2,8,,,1,,,2,8,30,3,,,,,,11,5,,,,,,,1,24,,1,3,,,2,3,1,,,8,,2,,1,,,,,,,4,,,,,,1,,2,,,,1,1,4,4,2,,2,,1,24,2,11,,,1,18,3,,,,,,,9,,20,10,,1,,1,,2,1,3,,1,,,,1,,1,6,53,45,117,16,,,,7,1,4,8,1,,,5,2,1,,,1,,7,2,,7,3,6,,6,7,,1,1,3,3,1,2,2,2,6,5,3,1,4,,,4,,,1,,2,,,556
2019,6,2,2,5.28125,2.106875,44.43125,7.53875,3.4721875,-0.2175,1.44125,101304.0313,0,2,5,,4,,1,,,2,4,2,2,,,,12,3,,,10,1,4,27,,4,1,2,2,,,1,,3,,,3,1,,8,10,1,2,3,1,2,,1,15,2,2,,1,9,1,,3,,2,,3,3,,1,,,3,2,,,,,,2,34,4,2,,1,,,10,3,1,,,1,,,2,11,3,3,1,,1,,,,,2,6,1,,,2,2,,,,,,1,4,2,1,,,1,,1,,1,,3,,3,9,,1,4,,2,16,1,14,,,,9,5,2,1,,,,2,11,1,25,8,1,2,1,,1,3,1,5,1,,,,,,2,,12,49,47,81,24,,1,,2,1,7,6,1,,,,4,3,,,2,,12,1,4,8,1,7,,7,3,1,6,,3,1,,1,1,2,9,3,7,1,5,1,1,1,,7,,,2,,,392
2019,7,3,2,4.412568306,4.297814208,67.36338798,10.06174863,4.787978142,0.22704918,1.532240437,101403.5246,0,,5,,1,,,,1,1,1,2,6,,1,,16,4,,4,10,3,5,23,,3,5,1,3,2,1,1,3,1,,,3,1,1,2,4,5,7,1,,4,,1,16,1,1,,1,13,1,,2,,,1,7,2,1,1,1,1,5,,,1,1,,,2,37,2,,1,,,,7,2,,,,,,,,17,2,,,,3,,1,1,,2,6,,,,,1,,,1,1,,2,2,1,,,,1,,1,,,,1,,2,5,1,,2,,1,19,3,6,1,,,20,3,5,,,,,4,20,1,26,13,2,2,2,1,,2,,4,3,,,,,,1,,12,60,37,97,17,,1,,2,1,,8,4,,,3,5,1,,1,2,,17,4,2,,3,,2,2,7,,1,3,3,3,2,,2,1,6,1,7,,3,1,,4,2,5,2,,1,1,1,439
2019,8,4,2,3.724637681,5.229468599,82.66666667,5.331400966,3.099275362,0.01763285,0.157487923,102295.6763,0,2,3,,1,1,,,1,,2,3,2,,,,8,4,1,3,12,2,2,26,,3,4,3,2,1,,1,,1,1,,2,2,1,5,7,1,5,2,,4,,4,19,1,,,1,6,,,4,1,1,,3,1,,,,,7,1,,2,,,2,6,16,,1,1,,2,,7,3,,1,,1,,1,1,16,2,,,,1,1,2,,,,2,2,,2,1,,1,,,,,3,2,2,,,,,,3,1,1,,,1,,8,4,,3,,,17,,11,,,1,8,6,1,1,,,,1,7,2,17,8,,3,2,1,1,2,,4,1,,,1,,,,,21,42,38,63,20,1,1,2,3,3,2,4,1,,,,3,,,,,,3,3,1,2,3,2,,6,2,,1,2,1,,,1,,,5,2,4,,2,,1,2,2,1,,,4,1,,529
2019,9,1,2,7.171875,1.3359375,51.16210938,6.059179688,0.446289062,-2.727929688,0.7046875,100013.5352,0.107421875,2,5,,3,,,,,1,4,2,2,,3,2,12,4,2,1,8,1,,17,,3,2,3,1,1,,2,,3,,,1,,,5,8,2,4,1,2,5,,1,25,1,2,1,3,7,1,1,1,1,,,3,2,,,1,,6,,,,1,,3,8,21,2,2,,,,,11,6,,1,1,1,,1,2,23,,,,,2,1,1,,1,,8,,,,2,1,,,1,,2,2,1,2,1,,,,,,,,,1,,2,8,1,,4,,,20,1,15,,,,14,7,2,,1,,,1,11,1,27,7,,2,,,1,,,3,3,,,,,,,,10,54,45,94,20,,,,12,,1,7,,,,1,4,1,3,,4,,10,2,,6,2,1,3,3,1,,,,2,2,5,,2,,6,3,3,,,1,,3,2,3,,,2,,1,655
2019,10,2,3,7.127659574,1.140425532,60.60520095,12.07399527,8.077777778,3.944444444,3.977777778,99448.58156,0,1,3,1,1,,1,,,,1,,2,,,,16,2,1,1,9,1,,10,1,7,2,5,3,,,1,,2,,,4,,,7,11,3,1,,,4,,1,26,2,1,,4,8,,1,2,,,,3,2,,1,,1,4,,,,,,5,4,18,,2,1,,,,12,4,1,,1,,,3,1,26,,,,,2,,1,,,4,5,,,,2,,,,,,,3,1,2,2,,,2,,,4,,,1,2,5,6,1,,6,1,1,20,5,10,,,,14,6,3,1,,,,1,16,,27,10,2,,1,,,1,,4,2,1,,,,,2,,15,55,28,82,18,1,,,3,,2,7,,,,,4,,,1,2,,12,,,4,2,3,1,12,1,,,1,2,1,,,2,1,3,6,2,1,3,,,5,3,2,,,2,1,,536
